PRECINCT,D_votes,R_votes
GROVEPORT-A,254,258
GROVEPORT-B,255,363
GROVEPORT-C,164,232
GROVEPORT-D,316,272
GROVEPORT-E,255,178
HAMILTON-A,178,348
HAMILTON-B,88,195
HAMILTON-C,276,455
HILLIARD 01-A,157,181
HILLIARD 01-B,384,289
HILLIARD 01-C,315,256
HILLIARD 01-D,282,147
HILLIARD 01-E,234,261
HILLIARD 01-F,248,243
HILLIARD 01-G,246,222
HILLIARD 02-A,388,307
HILLIARD 02-B,461,416
HILLIARD 02-C,423,257
HILLIARD 02-D,513,427
HILLIARD 02-E,607,336
HILLIARD 02-F,211,254
HILLIARD 03-A,275,218
HILLIARD 03-B,385,400
HILLIARD 03-C,424,423
HILLIARD 03-D,322,329
HILLIARD 03-E,338,341
HILLIARD 04-A,536,384
HILLIARD 04-B,384,372
HILLIARD 04-C,529,461
HILLIARD 04-D,439,437
HILLIARD 04-E,270,198
JACKSON-A,170,266
JACKSON-B,125,224
JACKSON-C,171,349
JACKSON-D,173,376
JEFFERSON-A,285,425
JEFFERSON-B,226,392
JEFFERSON-C,349,436
JEFFERSON-D,408,178
JEFFERSON-E,497,551
JEFFERSON-F,369,341
JEFFERSON-G,299,158
JEFFERSON-H,306,123
JEFFERSON-I,210,155
MADISON-A,174,354
MADISON-B,160,284
MADISON-C,282,279
MADISON-D,371,221
MADISON-E,96,174
MADISON-F,276,226
MADISON-G,208,166
MADISON-H,287,198
MARBLE CLIFF-A,264,164
MIFFLIN-A,194,110
MIFFLIN-B,198,86
MINERVA PARK-A,541,278
NEW ALBANY-A,351,316
NEW ALBANY-B,366,460
NEW ALBANY-C,345,464
NEW ALBANY-D,331,477
NEW ALBANY-E,249,260
NEW ALBANY-F,435,370
NEW ALBANY-G,270,229
NORWICH-A,239,321
NORWICH-B,323,282
NORWICH-C,270,266
NORWICH-D,189,209
OBETZ-A,212,275
OBETZ-B,322,327
OBETZ-C,155,235
PERRY-A,321,264
PERRY-B,371,299
PERRY-C,162,123
PERRY-D,457,413
PLAIN-A,97,131
PLAIN-B,270,488
PLEASANT-A,135,257
PLEASANT-B,172,339
PLEASANT-C,236,363
PLEASANT-D,255,308
PLEASANT-E,145,264
PLEASANT-F,139,264
PRAIRIE-A,222,258
PRAIRIE-B,243,371
PRAIRIE-C,158,271
PRAIRIE-D,204,201
PRAIRIE-E,231,290
PRAIRIE-F,257,252
PRAIRIE-G,186,235
PRAIRIE-H,240,165
PRAIRIE-I,189,207
PRAIRIE-J,87,86
PRAIRIE-K,112,200
PRAIRIE-L,147,198
PRAIRIE-M,221,206
REYNOLDSBURG 01-A,315,156
REYNOLDSBURG 01-B,329,281
REYNOLDSBURG 01-C,343,169
REYNOLDSBURG 01-D,347,282
REYNOLDSBURG 01-E,196,131
REYNOLDSBURG 01-F,274,154
REYNOLDSBURG 01-G,386,297
REYNOLDSBURG 02-A,589,402
REYNOLDSBURG 02-B,319,254
REYNOLDSBURG 02-C,143,94
REYNOLDSBURG 02-D,233,177
REYNOLDSBURG 02-E,110,133
REYNOLDSBURG 02-F,404,335
REYNOLDSBURG 03-A,436,270
REYNOLDSBURG 03-B,160,150
REYNOLDSBURG 04-A,239,86
REYNOLDSBURG 04-B,386,98
REYNOLDSBURG 04-C,261,180
REYNOLDSBURG 04-D,214,209
REYNOLDSBURG 04-E,222,210
REYNOLDSBURG 04-F,144,62
REYNOLDSBURG 04-G,230,42
RIVERLEA-A,270,114
SHARON-A,290,223
SHARON-B,375,186
TRURO-A,29,43
TRURO-B,239,151
UPPER ARLINGTON 01-A,404,228
UPPER ARLINGTON 01-B,401,222
UPPER ARLINGTON 01-C,256,253
UPPER ARLINGTON 01-D,282,204
UPPER ARLINGTON 01-E,350,318
UPPER ARLINGTON 01-F,289,277
UPPER ARLINGTON 02-A,321,346
UPPER ARLINGTON 02-B,235,303
UPPER ARLINGTON 02-C,313,238
UPPER ARLINGTON 02-D,261,224
UPPER ARLINGTON 02-E,354,203
UPPER ARLINGTON 02-F,410,249
UPPER ARLINGTON 03-A,326,311
UPPER ARLINGTON 03-B,645,394
UPPER ARLINGTON 03-C,465,268
UPPER ARLINGTON 03-D,418,264
UPPER ARLINGTON 04-A,380,317
UPPER ARLINGTON 04-B,500,282
UPPER ARLINGTON 04-C,424,240
UPPER ARLINGTON 04-D,351,242
UPPER ARLINGTON 04-E,338,310
UPPER ARLINGTON 05-A,403,269
UPPER ARLINGTON 05-B,350,383
UPPER ARLINGTON 05-C,368,310
UPPER ARLINGTON 05-D,265,224
UPPER ARLINGTON 05-E,529,434
UPPER ARLINGTON 06-A,293,372
UPPER ARLINGTON 06-B,402,260
UPPER ARLINGTON 06-C,216,247
UPPER ARLINGTON 06-D,572,556
UPPER ARLINGTON 06-E,323,373
URBANCREST-A,188,20
VALLEYVIEW-A,93,118
WASHINGTON-A,152,233
WESTERVILLE 01-A,333,242
WESTERVILLE 01-B,353,355
WESTERVILLE 01-C,280,268
WESTERVILLE 01-D,236,183
WESTERVILLE 01-E,343,277
WESTERVILLE 02-A,351,354
WESTERVILLE 02-B,454,438
WESTERVILLE 02-C,211,218
WESTERVILLE 02-D,237,245
WESTERVILLE 02-E,336,326
WESTERVILLE 02-F,314,322
WESTERVILLE 02-G,262,227
WESTERVILLE 03-A,279,260
WESTERVILLE 03-B,237,202
WESTERVILLE 03-C,322,199
WESTERVILLE 03-D,374,245
WESTERVILLE 03-E,263,238
WESTERVILLE 04-A,439,368
WESTERVILLE 04-B,557,444
WESTERVILLE 04-C,343,322
WESTERVILLE 05-A,376,199
WESTERVILLE 05-B,419,141
WESTERVILLE 05-C,324,296
WESTERVILLE 05-D,280,264
WESTERVILLE 05-E,317,301
WHITEHALL 01-A,408,132
WHITEHALL 01-B,333,214
WHITEHALL 02-A,308,146
WHITEHALL 02-B,197,141
WHITEHALL 02-C,314,68
WHITEHALL 03-A,283,264
WHITEHALL 03-B,203,152
WHITEHALL 03-C,251,118
WHITEHALL 04-A,318,166
WHITEHALL 04-B,352,149
WHITEHALL 04-C,418,128
WORTHINGTON 01-A,475,243
WORTHINGTON 01-B,416,237
WORTHINGTON 01-C,411,316
WORTHINGTON 01-D,207,170
WORTHINGTON 02-A,537,218
WORTHINGTON 02-B,494,175
WORTHINGTON 02-C,510,170
WORTHINGTON 03-A,771,416
WORTHINGTON 03-B,452,266
WORTHINGTON 03-C,280,181
WORTHINGTON 04-A,383,171
WORTHINGTON 04-B,429,235
WORTHINGTON 04-C,280,192
WORTHINGTON 04-D,182,153
