PRECINCT,D_votes,R_votes
COLUMBUS 75-E,539,383
COLUMBUS 75-F,366,217
COLUMBUS 75-G,407,160
COLUMBUS 76-E,297,104
COLUMBUS 76-F,426,281
COLUMBUS 76-G,193,109
COLUMBUS 77-A,355,199
COLUMBUS 77-B,330,166
COLUMBUS 77-C,264,120
COLUMBUS 77-D,1,1
COLUMBUS 78-A,222,115
COLUMBUS 78-B,236,253
COLUMBUS 78-C,346,136
COLUMBUS 78-D,453,270
COLUMBUS 78-E,325,148
COLUMBUS 78-F,241,258
COLUMBUS 78-G,401,271
COLUMBUS 78-H,320,240
COLUMBUS 78-I,301,126
COLUMBUS 79-A,332,98
COLUMBUS 79-B,398,271
COLUMBUS 79-C,100,88
COLUMBUS 79-D,154,124
COLUMBUS 80-A,428,249
COLUMBUS 80-B,520,236
COLUMBUS 80-C,219,93
COLUMBUS 80-D,412,264
COLUMBUS 80-E,296,185
COLUMBUS 80-F,604,304
COLUMBUS 81-A,610,123
COLUMBUS 81-B,399,144
COLUMBUS 81-C,463,170
COLUMBUS 81-D,456,153
COLUMBUS 81-E,574,58
COLUMBUS 82-A,376,190
COLUMBUS 82-B,411,220
COLUMBUS 82-C,178,161
COLUMBUS 82-D,370,253
COLUMBUS 83-A,491,55
COLUMBUS 83-B,394,160
COLUMBUS 83-C,879,49
COLUMBUS 83-D,430,40
COLUMBUS 83-E,794,41
COLUMBUS 83-F,837,23
COLUMBUS 83-G,502,32
COLUMBUS 83-H,384,39
COLUMBUS 84-A,691,319
COLUMBUS 84-B,606,242
COLUMBUS 84-C,504,103
COLUMBUS 84-D,517,114
COLUMBUS 84-E,607,284
COLUMBUS 84-F,442,313
COLUMBUS 84-G,324,90
COLUMBUS 84-H,261,95
COLUMBUS 85-A,528,118
COLUMBUS 85-B,392,201
COLUMBUS 85-C,373,263
COLUMBUS 85-D,390,250
COLUMBUS 85-E,225,46
COLUMBUS 86-A,505,139
COLUMBUS 86-B,545,228
COLUMBUS 86-C,300,91
COLUMBUS 86-D,448,126
COLUMBUS 86-E,471,220
COLUMBUS 86-F,293,160
COLUMBUS 86-G,331,206
COLUMBUS 86-H,349,141
COLUMBUS 86-I,259,172
COLUMBUS 86-J,232,105
COLUMBUS 87-A,244,183
COLUMBUS 87-B,199,191
COLUMBUS 87-C,300,160
COLUMBUS 87-D,382,282
COLUMBUS 87-E,173,126
FRANKLIN-A,138,203
FRANKLIN-B,137,157
FRANKLIN-C,218,210
FRANKLIN-D,59,124
FRANKLIN-E,39,28
FRANKLIN-F,210,16
GAHANNA 01-B,229,214
GAHANNA 01-C,467,270
GAHANNA 01-D,195,143
GAHANNA 01-E,433,282
GAHANNA 01-F,342,145
GAHANNA 01-G,260,222
GAHANNA 02-B,397,197
GAHANNA 02-C,274,145
GAHANNA 02-D,58,47
GAHANNA 02-E,138,93
GAHANNA 02-F,21,10
GAHANNA 02-G,196,151
GAHANNA 02-H,391,230
GAHANNA 02-I,365,172
GAHANNA 03-A,306,206
